0	Canon MP270 series / MP250 series On-screen Manual	0	Canon MP270 series / MP250 series On-screen Manual	735	3	Як користуватися цим посібником	scoretable key: 0	{0: 735, 3: -390, 4: -520, 6: -520, 7: -520, 2: -545, 5: -570, 1: -670}
1	Page 1 of 678 pages	1	Стор.	-70	2	1 із 685	scoretable key: 1	{1: -70, 2: -70, 4: -165, 6: -165, 7: -165, 8: -165, 3: -295, 0: -420}
2	How to Use This Manual	3	Як користуватися цим посібником	360	4	Друк цього посібника	scoretable key: 2	{3: 360, 4: -15, 6: -15, 7: -15, 8: -140, 9: -170, 1: -295, 5: -315, 2: -420, 0: -645}
3	Printing This Manual	4	Друк цього посібника	160	6	Короткий посібник	scoretable key: 3	{4: 160, 6: 35, 7: 35, 3: 30, 8: -90, 9: -120, 1: -245, 10: -245, 5: -265, 2: -370, 0: -595}
5	MC-3752-V1.00	5	MC-3765-V1.00	435	2	1 із 685	scoretable key: 5	{5: 435, 2: 10, 6: -190, 7: -190, 8: -190, 1: -270, 9: -270, 10: -270, 3: -320, 4: -320, 11: -420, 0: -470}
6	Basic Guide	7	Повний посібник	85	6	Короткий посібник	scoretable key: 6	{7: 85, 6: 80, 3: -45, 4: -45, 8: -170, 2: -190, 13: -190, 1: -195, 9: -195, 10: -195, 12: -195, 5: -215, 11: -245, 0: -545}
7	Advanced Guide	6	Короткий посібник	110	7	Повний посібник	scoretable key: 7	{6: 110, 7: 110, 8: -15, 3: -20, 14: -20, 9: -45, 10: -45, 2: -165, 13: -165, 1: -170, 12: -170, 5: -190, 11: -345, 0: -520}
8	Troubleshooting	8	Усунення неполадок	135	4	Друк цього посібника	scoretable key: 8	{8: 135, 4: 10, 6: 10, 7: 10, 15: 10, 3: -120, 14: -120, 1: -145, 9: -145, 10: -145, 12: -145, 5: -165, 2: -270, 13: -270, 11: -445}
9	Describes the summary of this product.	9	Містяться загальні відомості про цей продукт.	180	10	Детально описується робота цього продукту.	scoretable key: 9	{9: 180, 10: 55, 3: -15, 14: -15, 12: -200, 4: -270, 6: -270, 7: -270, 8: -270, 15: -270, 5: -370, 16: -370, 2: -420, 13: -420, 11: -465}
10	Describes the detailed function of this product.	10	Детально описується робота цього продукту.	30	3	Як користуватися цим посібником	scoretable key: 10	{10: 30, 3: -40, 14: -40, 12: -225, 4: -295, 6: -295, 7: -295, 8: -295, 15: -295, 17: -295, 5: -395, 16: -395, 13: -445, 11: -490}
